,speech_number,type,position,sentiment_blob
9,13,Great Speech,9,-0.09458333333333334
0,14,Great Speech,0,0.2812074829931973
1,14,Great Speech,1,0.2638888888888889
2,14,Great Speech,2,0.1351604278074866
3,14,Great Speech,3,0.043452380952380944
4,14,Great Speech,4,-0.26857142857142857
5,14,Great Speech,5,0.14166666666666666
6,14,Great Speech,6,0.07013528138528138
7,14,Great Speech,7,0.292929292929293
8,14,Great Speech,8,0.20701970443349751
9,14,Great Speech,9,0.12113164613164613
0,15,Great Speech,0,0.3304166666666667
1,15,Great Speech,1,0.013461538461538473
2,15,Great Speech,2,-0.019326923076923082
3,15,Great Speech,3,0.7
4,15,Great Speech,4,0.0007575757575757499
5,15,Great Speech,5,0.1419799498746867
6,15,Great Speech,6,0.0
7,15,Great Speech,7,0.0
8,15,Great Speech,8,0.09166666666666667
9,15,Great Speech,9,0.06490476190476192
0,16,Great Speech,0,-0.05714285714285715
1,16,Great Speech,1,0.09827586206896552
2,16,Great Speech,2,0.2242481203007519
3,16,Great Speech,3,0.0
4,16,Great Speech,4,0.24285714285714288
5,16,Great Speech,5,0.1307017543859649
6,16,Great Speech,6,-0.04242424242424243
7,16,Great Speech,7,0.0
8,16,Great Speech,8,0.5333333333333333
9,16,Great Speech,9,0.0
0,17,Great Speech,0,0.18387096774193548
1,17,Great Speech,1,0.08484848484848484
2,17,Great Speech,2,0.1767902236652237
3,17,Great Speech,3,0.07974458874458874
4,17,Great Speech,4,0.2651260504201681
5,17,Great Speech,5,0.08760527351436441
6,17,Great Speech,6,0.0533254624163715
7,17,Great Speech,7,0.20974025974025973
8,17,Great Speech,8,0.17226190476190478
9,17,Great Speech,9,0.050444292549555715
0,18,Great Speech,0,-0.5
1,18,Great Speech,1,0.0
2,18,Great Speech,2,0.2
3,18,Great Speech,3,0.0
4,18,Great Speech,4,0.0
5,18,Great Speech,5,0.011049107142857144
6,18,Great Speech,6,0.13333333333333333
7,18,Great Speech,7,-0.09337121212121212
8,18,Great Speech,8,-0.2555555555555556
9,18,Great Speech,9,-0.011147186147186138
0,19,Great Speech,0,0.5
1,19,Great Speech,1,0.25
2,19,Great Speech,2,-0.02222222222222223
3,19,Great Speech,3,-0.38999999999999996
4,19,Great Speech,4,-0.75
5,19,Great Speech,5,0.4666666666666666
6,19,Great Speech,6,0.21428571428571427
7,19,Great Speech,7,-0.28035714285714286
8,19,Great Speech,8,-0.1625
9,19,Great Speech,9,0.24999999999999997
0,20,Great Speech,0,0.15000000000000002
1,20,Great Speech,1,0.033689839572192515
2,20,Great Speech,2,0.07527548209366391
3,20,Great Speech,3,0.14196969696969694
4,20,Great Speech,4,0.15714285714285717
5,20,Great Speech,5,0.28750000000000003
6,20,Great Speech,6,0.03571428571428571
7,20,Great Speech,7,0.02704686617730095
8,20,Great Speech,8,-0.075
9,20,Great Speech,9,0.18394123606889562
0,21,Great Speech,0,0.5
1,21,Great Speech,1,0.19743589743589746
2,21,Great Speech,2,0.16666666666666666
3,21,Great Speech,3,0.35714285714285715
4,21,Great Speech,4,0.19666666666666666
5,21,Great Speech,5,0.0
6,21,Great Speech,6,0.18690476190476193
7,21,Great Speech,7,-0.05625
