,speech_number,type,position,sentiment_blob
7,68,Great Speech,7,0.24774891774891775
8,68,Great Speech,8,-0.04151785714285715
9,68,Great Speech,9,0.149906015037594
0,69,Great Speech,0,0.2625
1,69,Great Speech,1,0.15694444444444444
2,69,Great Speech,2,0.20857142857142855
3,69,Great Speech,3,0.1433080808080808
4,69,Great Speech,4,0.08727272727272727
5,69,Great Speech,5,0.21980519480519478
6,69,Great Speech,6,0.17714285714285716
7,69,Great Speech,7,0.2333333333333333
8,69,Great Speech,8,0.26388888888888884
9,69,Great Speech,9,0.2669642857142857
0,70,Great Speech,0,0.17431972789115643
1,70,Great Speech,1,0.10869565217391307
2,70,Great Speech,2,0.12358630952380951
3,70,Great Speech,3,0.05909863945578232
4,70,Great Speech,4,0.059722222222222225
5,70,Great Speech,5,0.095
6,70,Great Speech,6,0.10252267573696146
7,70,Great Speech,7,0.15759871441689624
8,70,Great Speech,8,0.04100624754033845
9,70,Great Speech,9,0.1761518243661101
0,71,Great Speech,0,0.03707482993197279
1,71,Great Speech,1,0.03571428571428571
2,71,Great Speech,2,0.018750000000000003
3,71,Great Speech,3,0.13873851294903927
4,71,Great Speech,4,-0.05
5,71,Great Speech,5,-0.5
6,71,Great Speech,6,0.08250000000000002
7,71,Great Speech,7,0.01849816849816851
8,71,Great Speech,8,0.11416666666666667
9,71,Great Speech,9,0.04754215083162452
0,72,Great Speech,0,-0.03784722222222223
1,72,Great Speech,1,-0.11372549019607843
2,72,Great Speech,2,0.24166666666666664
3,72,Great Speech,3,0.007200460829493083
4,72,Great Speech,4,0.032397959183673476
5,72,Great Speech,5,-0.0536488095238095
6,72,Great Speech,6,0.13015873015873017
7,72,Great Speech,7,-0.31929824561403514
8,72,Great Speech,8,-0.39299719887955187
9,72,Great Speech,9,0.043758320532514085
0,73,Great Speech,0,-0.3125
1,73,Great Speech,1,0.06644683441558441
2,73,Great Speech,2,0.18479166666666666
3,73,Great Speech,3,0.013636363636363646
4,73,Great Speech,4,0.176984126984127
5,73,Great Speech,5,0.3
6,73,Great Speech,6,0.2423076923076923
7,73,Great Speech,7,0.08874458874458874
8,73,Great Speech,8,0.19539888682745823
9,73,Great Speech,9,-0.03733044733044736
0,74,Great Speech,0,0.4224937343358396
1,74,Great Speech,1,0.2642857142857143
2,74,Great Speech,2,0.01793560606060606
3,74,Great Speech,3,0.09614512471655326
4,74,Great Speech,4,-0.04583333333333334
5,74,Great Speech,5,0.17628205128205127
6,74,Great Speech,6,0.24019607843137253
7,74,Great Speech,7,0.24576118326118326
8,74,Great Speech,8,0.2291666666666667
9,74,Great Speech,9,0.39791666666666664
0,75,Great Speech,0,0.011666666666666659
1,75,Great Speech,1,0.14468221172766627
2,75,Great Speech,2,-0.1
3,75,Great Speech,3,-0.08750000000000002
4,75,Great Speech,4,0.05273917748917748
5,75,Great Speech,5,-0.030000000000000006
6,75,Great Speech,6,0.1462566844919786
7,75,Great Speech,7,-0.03787878787878788
8,75,Great Speech,8,0.20740740740740743
9,75,Great Speech,9,0.22142607392607394
0,76,Great Speech,0,-0.06818181818181818
1,76,Great Speech,1,0.0
2,76,Great Speech,2,-0.2
3,76,Great Speech,3,0.26845238095238094
4,76,Great Speech,4,-0.12424242424242421
5,76,Great Speech,5,0.05208333333333333
6,76,Great Speech,6,0.5
7,76,Great Speech,7,0.22770562770562772
8,76,Great Speech,8,0.4269412878787878
9,76,Great Speech,9,0.09603174603174605
0,77,Typical Speech,0,0.29
1,77,Typical Speech,1,0.05833333333333335
2,77,Typical Speech,2,-0.05
3,77,Typical Speech,3,0.17500000000000002
4,77,Typical Speech,4,0.028124999999999997
5,77,Typical Speech,5,0.0
6,77,Typical Speech,6,0.0
7,77,Typical Speech,7,0.5
8,77,Typical Speech,8,0.4499999999999999
9,77,Typical Speech,9,0.35
0,78,Typical Speech,0,0.09142857142857144
1,78,Typical Speech,1,0.1377551020408163
2,78,Typical Speech,2,0.230625
3,78,Typical Speech,3,0.04583333333333333
4,78,Typical Speech,4,0.1754285714285714
5,78,Typical Speech,5,0.315
6,78,Typical Speech,6,0.14087301587301587
7,78,Typical Speech,7,0.07857142857142856
8,78,Typical Speech,8,0.09739883305100698
9,78,Typical Speech,9,0.1851084603801995
0,79,Typical Speech,0,0.18196428571428572
1,79,Typical Speech,1,-0.012239583333333335
2,79,Typical Speech,2,0.05063852813852814
3,79,Typical Speech,3,0.08600596557913633
4,79,Typical Speech,4,0.1824074074074074
5,79,Typical Speech,5,0.18744318181818184
6,79,Typical Speech,6,9.740259740259494e-05
7,79,Typical Speech,7,0.15313852813852813
8,79,Typical Speech,8,0.19604978354978356
9,79,Typical Speech,9,0.012063120702826603
0,80,Typical Speech,0,0.0
1,80,Typical Speech,1,0.075
2,80,Typical Speech,2,0.2
3,80,Typical Speech,3,0.0
4,80,Typical Speech,4,0.0625
5,80,Typical Speech,5,0.14285714285714285
6,80,Typical Speech,6,0.03333333333333333
7,80,Typical Speech,7,0.25727272727272726
8,80,Typical Speech,8,0.06883116883116883
9,80,Typical Speech,9,0.12757242757242754
0,81,Typical Speech,0,0.21666666666666665
1,81,Typical Speech,1,0.23124999999999998
2,81,Typical Speech,2,0.1202813852813853
3,81,Typical Speech,3,-0.04285714285714286
4,81,Typical Speech,4,0.3607142857142857
5,81,Typical Speech,5,0.0
6,81,Typical Speech,6,0.048835403726708096
7,81,Typical Speech,7,0.012500000000000004
8,81,Typical Speech,8,0.1638888888888889
9,81,Typical Speech,9,0.315181031090122
0,82,Typical Speech,0,0.0
1,82,Typical Speech,1,0.18888888888888888
2,82,Typical Speech,2,-0.09999999999999999
3,82,Typical Speech,3,0.3
4,82,Typical Speech,4,-0.03333333333333333
5,82,Typical Speech,5,0.15
6,82,Typical Speech,6,-0.18520923520923524
7,82,Typical Speech,7,0.16666666666666666
8,82,Typical Speech,8,0.08449197860962566
9,82,Typical Speech,9,0.07332555265247576
0,83,Typical Speech,0,0.0
1,83,Typical Speech,1,0.0
2,83,Typical Speech,2,0.5333333333333333
3,83,Typical Speech,3,-0.044444444444444446
4,83,Typical Speech,4,0.20000000000000004
5,83,Typical Speech,5,0.0
6,83,Typical Speech,6,0.0
7,83,Typical Speech,7,0.0
8,83,Typical Speech,8,0.13390269151138715
9,83,Typical Speech,9,0.0
0,84,Typical Speech,0,0.0
1,84,Typical Speech,1,0.0
2,84,Typical Speech,2,0.0
3,84,Typical Speech,3,0.0
4,84,Typical Speech,4,0.0
5,84,Typical Speech,5,0.0
6,84,Typical Speech,6,0.0
7,84,Typical Speech,7,0.0
8,84,Typical Speech,8,0.0
9,84,Typical Speech,9,0.10027625882889044
0,85,Typical Speech,0,0.0
1,85,Typical Speech,1,0.0
2,85,Typical Speech,2,0.0
3,85,Typical Speech,3,0.0
4,85,Typical Speech,4,0.0
5,85,Typical Speech,5,0.0
6,85,Typical Speech,6,0.0
7,85,Typical Speech,7,0.0
8,85,Typical Speech,8,0.0
9,85,Typical Speech,9,0.06932330827067669
0,86,Typical Speech,0,-0.21666666666666667
1,86,Typical Speech,1,0.11100131752305666
2,86,Typical Speech,2,0.0764923258559622
3,86,Typical Speech,3,-0.0007098765432098771
4,86,Typical Speech,4,0.07068985307621675
5,86,Typical Speech,5,0.04607843137254902
6,86,Typical Speech,6,0.18492063492063493
7,86,Typical Speech,7,-0.02351190476190476
8,86,Typical Speech,8,0.0824
9,86,Typical Speech,9,0.03472222222222223
0,87,Typical Speech,0,-0.06809523809523808
1,87,Typical Speech,1,0.08888888888888889
2,87,Typical Speech,2,0.06060606060606061
3,87,Typical Speech,3,0.02252834467120182
4,87,Typical Speech,4,0.021428571428571432
5,87,Typical Speech,5,-0.014166666666666666
6,87,Typical Speech,6,0.044834710743801645
7,87,Typical Speech,7,0.007349896480331263
8,87,Typical Speech,8,0.1202651515151515
9,87,Typical Speech,9,-0.00036525974025974906
0,88,Typical Speech,0,-0.2
1,88,Typical Speech,1,0.6833333333333333
2,88,Typical Speech,2,0.0
3,88,Typical Speech,3,0.8
4,88,Typical Speech,4,0.3055555555555555
5,88,Typical Speech,5,0.15555555555555556
6,88,Typical Speech,6,-0.255
7,88,Typical Speech,7,-0.06
8,88,Typical Speech,8,0.2281954887218045
9,88,Typical Speech,9,0.21999999999999997
0,89,Typical Speech,0,0.05254629629629629
1,89,Typical Speech,1,0.41904761904761906
2,89,Typical Speech,2,0.2046190476190476
3,89,Typical Speech,3,0.18022486772486773
4,89,Typical Speech,4,0.18068452380952382
5,89,Typical Speech,5,0.07602813852813853
6,89,Typical Speech,6,-0.004166666666666657
7,89,Typical Speech,7,0.08641233766233768
8,89,Typical Speech,8,0.3346349206349207
9,89,Typical Speech,9,0.15971428571428567
0,90,Typical Speech,0,0.05959809964047252
1,90,Typical Speech,1,0.06870629370629372
2,90,Typical Speech,2,0.010300586510263932
3,90,Typical Speech,3,0.0425619834710744
4,90,Typical Speech,4,0.05585121400338792
5,90,Typical Speech,5,0.07910695626212867
6,90,Typical Speech,6,0.06713982941661513
7,90,Typical Speech,7,0.11244137806637809
8,90,Typical Speech,8,0.06881441970727686
9,90,Typical Speech,9,-0.008196386946386943
0,91,Typical Speech,0,0.0
1,91,Typical Speech,1,0.0
2,91,Typical Speech,2,0.0
3,91,Typical Speech,3,0.0
4,91,Typical Speech,4,0.0
5,91,Typical Speech,5,0.0
6,91,Typical Speech,6,0.0
7,91,Typical Speech,7,0.0
8,91,Typical Speech,8,0.0
9,91,Typical Speech,9,0.13636363636363635
0,92,Typical Speech,0,0.0
1,92,Typical Speech,1,0.0
2,92,Typical Speech,2,0.65
3,92,Typical Speech,3,0.33666666666666667
4,92,Typical Speech,4,0.16507936507936508
5,92,Typical Speech,5,0.16666666666666666
6,92,Typical Speech,6,0.0
7,92,Typical Speech,7,0.23714285714285716
8,92,Typical Speech,8,0.0
9,92,Typical Speech,9,0.19856695029108823
0,93,Typical Speech,0,0.0
1,93,Typical Speech,1,0.0
2,93,Typical Speech,2,-0.30000000000000004
3,93,Typical Speech,3,0.4083333333333334
4,93,Typical Speech,4,0.3375
5,93,Typical Speech,5,0.0
6,93,Typical Speech,6,-0.2916666666666667
7,93,Typical Speech,7,-0.05
8,93,Typical Speech,8,0.3666666666666667
9,93,Typical Speech,9,0.29714285714285715
0,94,Typical Speech,0,0.7
1,94,Typical Speech,1,0.0
2,94,Typical Speech,2,-0.04772727272727273
3,94,Typical Speech,3,-0.23333333333333334
4,94,Typical Speech,4,0.0
5,94,Typical Speech,5,0.13636363636363635
6,94,Typical Speech,6,0.10909090909090909
7,94,Typical Speech,7,0.0
8,94,Typical Speech,8,0.13636363636363635
9,94,Typical Speech,9,0.13897330447330447
0,95,Typical Speech,0,0.1539975649350649
1,95,Typical Speech,1,0.11413892324606606
2,95,Typical Speech,2,0.13208311998634575
3,95,Typical Speech,3,0.11938888888888888
4,95,Typical Speech,4,0.08620851370851372
5,95,Typical Speech,5,0.13287647537647537
6,95,Typical Speech,6,0.1336375977823346
7,95,Typical Speech,7,0.07033628697691197
8,95,Typical Speech,8,0.0738095238095238
9,95,Typical Speech,9,0.10133016208597605
0,96,Typical Speech,0,0.08589743589743588
1,96,Typical Speech,1,0.0
2,96,Typical Speech,2,0.0
3,96,Typical Speech,3,-0.1499999999999999
4,96,Typical Speech,4,0.0
5,96,Typical Speech,5,0.2857142857142857
6,96,Typical Speech,6,0.2857142857142857
7,96,Typical Speech,7,0.0
8,96,Typical Speech,8,0.2857142857142857
9,96,Typical Speech,9,0.0
0,97,Typical Speech,0,0.0
1,97,Typical Speech,1,0.005729166666666664
2,97,Typical Speech,2,0.11388888888888887
3,97,Typical Speech,3,0.2858630952380952
4,97,Typical Speech,4,-0.2611111111111111
5,97,Typical Speech,5,0.17500000000000002
6,97,Typical Speech,6,0.1469151138716356
7,97,Typical Speech,7,0.07863636363636364
8,97,Typical Speech,8,0.23896103896103893
9,97,Typical Speech,9,0.08622706658420944
0,98,Typical Speech,0,0.0
1,98,Typical Speech,1,0.0
2,98,Typical Speech,2,0.0
3,98,Typical Speech,3,0.0
4,98,Typical Speech,4,0.0
5,98,Typical Speech,5,0.0
6,98,Typical Speech,6,0.0
7,98,Typical Speech,7,0.0
8,98,Typical Speech,8,0.0
9,98,Typical Speech,9,0.18815426997245177
0,99,Typical Speech,0,0.0
1,99,Typical Speech,1,0.0
2,99,Typical Speech,2,0.0
3,99,Typical Speech,3,0.0
4,99,Typical Speech,4,0.0
5,99,Typical Speech,5,0.0
6,99,Typical Speech,6,0.0
7,99,Typical Speech,7,0.0
8,99,Typical Speech,8,0.0
9,99,Typical Speech,9,0.20406699889258026
0,100,Typical Speech,0,0.5171428571428571
1,100,Typical Speech,1,0.22142857142857145
2,100,Typical Speech,2,0.18174517281660144
3,100,Typical Speech,3,0.12791950113378683
4,100,Typical Speech,4,0.2791666666666667
5,100,Typical Speech,5,0.0765625
6,100,Typical Speech,6,0.021428571428571422
7,100,Typical Speech,7,0.21421296296296294
8,100,Typical Speech,8,0.1051948051948052
9,100,Typical Speech,9,0.1897020626432391
0,101,Typical Speech,0,0.17040816326530608
1,101,Typical Speech,1,0.07962894248608533
2,101,Typical Speech,2,-0.12696834415584415
3,101,Typical Speech,3,0.19537815126050417
4,101,Typical Speech,4,0.1710654936461388
5,101,Typical Speech,5,-0.055135836385836384
6,101,Typical Speech,6,0.11695238095238096
7,101,Typical Speech,7,0.1309002725669392
8,101,Typical Speech,8,0.1964135401635401
9,101,Typical Speech,9,0.027338318247409173
0,102,Typical Speech,0,0.19999999999999996
1,102,Typical Speech,1,-0.07142857142857142
2,102,Typical Speech,2,0.0
3,102,Typical Speech,3,0.2333333333333333
4,102,Typical Speech,4,0.08142857142857143
5,102,Typical Speech,5,-0.014583333333333332
6,102,Typical Speech,6,0.0
7,102,Typical Speech,7,0.0
8,102,Typical Speech,8,-0.5
9,102,Typical Speech,9,0.0
0,103,Typical Speech,0,0.27872807017543855
1,103,Typical Speech,1,0.03875455684666212
2,103,Typical Speech,2,0.04759001161440187
3,103,Typical Speech,3,-0.07299019607843137
4,103,Typical Speech,4,-0.015402597402597395
5,103,Typical Speech,5,0.10277777777777779
6,103,Typical Speech,6,-0.02333864965443913
7,103,Typical Speech,7,0.1491330227743271
8,103,Typical Speech,8,0.10306599428939855
9,103,Typical Speech,9,0.09078894269572237
0,104,Typical Speech,0,0.10238095238095238
1,104,Typical Speech,1,0.014285714285714282
2,104,Typical Speech,2,0.045833333333333344
3,104,Typical Speech,3,-0.11458333333333333
4,104,Typical Speech,4,-0.15
5,104,Typical Speech,5,-0.0026785714285714364
6,104,Typical Speech,6,0.004166666666666669
7,104,Typical Speech,7,0.26071428571428573
8,104,Typical Speech,8,0.0873015873015873
9,104,Typical Speech,9,0.29368171511028657
0,105,Typical Speech,0,0.12
1,105,Typical Speech,1,0.0
2,105,Typical Speech,2,0.85
3,105,Typical Speech,3,0.8
4,105,Typical Speech,4,-0.04166666666666668
5,105,Typical Speech,5,0.42000000000000004
6,105,Typical Speech,6,0.2
7,105,Typical Speech,7,0.22083333333333335
8,105,Typical Speech,8,0.19999999999999998
9,105,Typical Speech,9,0.11961722488038276
0,106,Typical Speech,0,0.0
1,106,Typical Speech,1,0.0
2,106,Typical Speech,2,0.0
3,106,Typical Speech,3,0.0
4,106,Typical Speech,4,0.0
5,106,Typical Speech,5,0.0
6,106,Typical Speech,6,0.0
7,106,Typical Speech,7,0.0
8,106,Typical Speech,8,0.0
9,106,Typical Speech,9,0.33329004329004325
0,107,Typical Speech,0,0.21208328708328705
1,107,Typical Speech,1,0.11181362497151973
2,107,Typical Speech,2,0.19633766233766234
3,107,Typical Speech,3,0.019841269841269844
4,107,Typical Speech,4,0.22560296846011132
5,107,Typical Speech,5,0.08453282828282828
6,107,Typical Speech,6,0.20733333333333334
7,107,Typical Speech,7,0.08750000000000002
8,107,Typical Speech,8,0.07851446798815219
9,107,Typical Speech,9,0.26666666666666666
0,108,Typical Speech,0,0.3
1,108,Typical Speech,1,0.4
2,108,Typical Speech,2,0.17750000000000002
3,108,Typical Speech,3,-0.004166666666666666
4,108,Typical Speech,4,0.0
5,108,Typical Speech,5,0.3273809523809524
6,108,Typical Speech,6,0.0
7,108,Typical Speech,7,-0.02666666666666665
8,108,Typical Speech,8,0.0
9,108,Typical Speech,9,0.11687301587301586
0,109,Typical Speech,0,0.10262734487734493
1,109,Typical Speech,1,0.06946153846153848
2,109,Typical Speech,2,0.07592307692307693
3,109,Typical Speech,3,0.029279811097992915
4,109,Typical Speech,4,0.05238095238095238
5,109,Typical Speech,5,-0.029507739735012462
6,109,Typical Speech,6,0.3012820512820513
7,109,Typical Speech,7,0.015441176470588232
8,109,Typical Speech,8,0.04900000000000002
9,109,Typical Speech,9,-0.033333333333333354
0,110,Typical Speech,0,0.0
1,110,Typical Speech,1,0.3425925925925926
2,110,Typical Speech,2,0.5
3,110,Typical Speech,3,0.275
4,110,Typical Speech,4,0.2
5,110,Typical Speech,5,0.1142857142857143
6,110,Typical Speech,6,0.0
7,110,Typical Speech,7,-0.003409090909090917
8,110,Typical Speech,8,0.16693121693121693
9,110,Typical Speech,9,0.21763392857142858
0,111,Typical Speech,0,0.4276292335115864
1,111,Typical Speech,1,0.09658008658008659
2,111,Typical Speech,2,0.13001336898395724
3,111,Typical Speech,3,0.14166666666666664
4,111,Typical Speech,4,0.3704081632653061
5,111,Typical Speech,5,0.12481306572215663
6,111,Typical Speech,6,-0.02494588744588743
7,111,Typical Speech,7,0.07444444444444445
8,111,Typical Speech,8,0.06457954545454545
9,111,Typical Speech,9,0.15024596615505706
0,112,Typical Speech,0,0.14722222222222223
1,112,Typical Speech,1,0.11200000000000002
2,112,Typical Speech,2,0.2499098124098124
3,112,Typical Speech,3,0.2857142857142857
4,112,Typical Speech,4,-0.09375
5,112,Typical Speech,5,0.0
6,112,Typical Speech,6,-0.09166666666666667
7,112,Typical Speech,7,0.11250000000000002
8,112,Typical Speech,8,0.0
9,112,Typical Speech,9,0.07464985994397758
0,113,Typical Speech,0,0.1885714285714286
1,113,Typical Speech,1,-0.011961514095660437
2,113,Typical Speech,2,-0.01442307692307692
3,113,Typical Speech,3,-0.08990462662337663
4,113,Typical Speech,4,-0.024793759699420086
5,113,Typical Speech,5,0.2082683982683983
6,113,Typical Speech,6,0.041666666666666664
7,113,Typical Speech,7,0.3064915966386555
8,113,Typical Speech,8,0.498951048951049
9,113,Typical Speech,9,0.41913580246913573
0,114,Typical Speech,0,0.2213126159554731
1,114,Typical Speech,1,0.020512820512820513
2,114,Typical Speech,2,0.08603041695146958
3,114,Typical Speech,3,-0.020984848484848495
4,114,Typical Speech,4,0.17140151515151517
5,114,Typical Speech,5,0.159375
6,114,Typical Speech,6,0.06418650793650794
7,114,Typical Speech,7,0.12196969696969696
8,114,Typical Speech,8,0.18768115942028987
9,114,Typical Speech,9,0.24843434343434348
0,115,Typical Speech,0,0.10519480519480519
1,115,Typical Speech,1,0.09166666666666667
2,115,Typical Speech,2,0.23666666666666666
3,115,Typical Speech,3,-0.05
4,115,Typical Speech,4,0.05625
5,115,Typical Speech,5,0.11666666666666665
6,115,Typical Speech,6,0.1090909090909091
7,115,Typical Speech,7,0.2532275132275132
8,115,Typical Speech,8,0.07307692307692307
9,115,Typical Speech,9,0.35
0,116,Typical Speech,0,0.0
1,116,Typical Speech,1,0.0
2,116,Typical Speech,2,0.0
3,116,Typical Speech,3,0.0
4,116,Typical Speech,4,0.0
5,116,Typical Speech,5,0.0
6,116,Typical Speech,6,0.0
7,116,Typical Speech,7,0.0
8,116,Typical Speech,8,0.0
9,116,Typical Speech,9,0.0014153439153439097
0,117,Typical Speech,0,0.21428571428571427
1,117,Typical Speech,1,0.10714285714285714
2,117,Typical Speech,2,0.13636363636363635
3,117,Typical Speech,3,-0.0033333333333333435
4,117,Typical Speech,4,-0.22715773809523807
5,117,Typical Speech,5,0.034999999999999996
6,117,Typical Speech,6,0.025630252100840325
7,117,Typical Speech,7,0.11666666666666667
8,117,Typical Speech,8,0.11903571428571427
9,117,Typical Speech,9,0.35055555555555556
0,118,Typical Speech,0,0.13066666666666663
1,118,Typical Speech,1,0.13768115942028986
2,118,Typical Speech,2,0.01427952999381571
3,118,Typical Speech,3,-0.048289345063538595
4,118,Typical Speech,4,-0.032456140350877204
5,118,Typical Speech,5,0.005624999999999996
6,118,Typical Speech,6,0.06136363636363637
7,118,Typical Speech,7,-0.03568010936431989
8,118,Typical Speech,8,-0.0028904120570787096
9,118,Typical Speech,9,0.17075757575757577
0,119,Typical Speech,0,0.36536796536796534
1,119,Typical Speech,1,0.22114135864135864
2,119,Typical Speech,2,0.3354645354645355
3,119,Typical Speech,3,0.20545454545454547
4,119,Typical Speech,4,0.031228956228956224
5,119,Typical Speech,5,0.22937109187109192
6,119,Typical Speech,6,0.11643939393939391
7,119,Typical Speech,7,0.2144496434937612
8,119,Typical Speech,8,0.37678571428571433
9,119,Typical Speech,9,0.1488961038961039
0,120,Typical Speech,0,0.0
1,120,Typical Speech,1,0.12291666666666665
2,120,Typical Speech,2,0.1
3,120,Typical Speech,3,0.1142857142857143
4,120,Typical Speech,4,0.06481481481481481
5,120,Typical Speech,5,0.06875
6,120,Typical Speech,6,0.0
7,120,Typical Speech,7,0.25
8,120,Typical Speech,8,0.0
9,120,Typical Speech,9,0.0
0,121,Typical Speech,0,0.48259920634920644
1,121,Typical Speech,1,0.328608630952381
2,121,Typical Speech,2,0.02868716931216933
3,121,Typical Speech,3,-0.049402597402597406
4,121,Typical Speech,4,0.1669191919191919
5,121,Typical Speech,5,0.11478578892371993
6,121,Typical Speech,6,0.4256029684601113
7,121,Typical Speech,7,0.08738662131519274
8,121,Typical Speech,8,0.14598765432098762
9,121,Typical Speech,9,-0.1
0,122,Typical Speech,0,0.0
1,122,Typical Speech,1,0.2
2,122,Typical Speech,2,0.09866666666666665
3,122,Typical Speech,3,-0.3
4,122,Typical Speech,4,0.21666666666666665
5,122,Typical Speech,5,0.13392045454545454
6,122,Typical Speech,6,0.39
7,122,Typical Speech,7,0.05555555555555555
8,122,Typical Speech,8,0.24375
9,122,Typical Speech,9,0.01666666666666668
0,123,Typical Speech,0,0.25
1,123,Typical Speech,1,0.06507936507936508
2,123,Typical Speech,2,0.04087878787878789
3,123,Typical Speech,3,0.1096590909090909
4,123,Typical Speech,4,0.05
5,123,Typical Speech,5,-0.15
6,123,Typical Speech,6,0.12797619047619047
7,123,Typical Speech,7,0.1619047619047619
8,123,Typical Speech,8,0.048322510822510815
9,123,Typical Speech,9,0.0
0,124,Typical Speech,0,0.1275
1,124,Typical Speech,1,0.2625
2,124,Typical Speech,2,0.09295634920634922
3,124,Typical Speech,3,0.0537138300296195
4,124,Typical Speech,4,0.10473955392433654
5,124,Typical Speech,5,0.09322246858832225
6,124,Typical Speech,6,0.19646915584415584
7,124,Typical Speech,7,0.09053996598639455
8,124,Typical Speech,8,-0.012995337995338
9,124,Typical Speech,9,0.23393308080808087
0,125,Typical Speech,0,0.05000000000000002
1,125,Typical Speech,1,0.00833333333333334
2,125,Typical Speech,2,0.0
3,125,Typical Speech,3,0.1
4,125,Typical Speech,4,0.0
5,125,Typical Speech,5,-0.19285714285714284
6,125,Typical Speech,6,0.10000000000000002
7,125,Typical Speech,7,-0.21147186147186145
8,125,Typical Speech,8,-0.1
9,125,Typical Speech,9,0.038803735024665255
0,126,Typical Speech,0,0.11772400879543737
1,126,Typical Speech,1,0.04345943911161303
2,126,Typical Speech,2,0.06436877076411962
3,126,Typical Speech,3,0.014734848484848472
4,126,Typical Speech,4,0.20125568875568872
5,126,Typical Speech,5,0.06399350649350649
6,126,Typical Speech,6,0.014321212121212118
7,126,Typical Speech,7,0.09450434261755014
8,126,Typical Speech,8,0.11820013320013317
9,126,Typical Speech,9,0.1670448995448996
0,127,Typical Speech,0,0.19444444444444445
1,127,Typical Speech,1,0.06747835497835498
2,127,Typical Speech,2,0.010374149659863949
3,127,Typical Speech,3,0.29166666666666663
4,127,Typical Speech,4,-0.06180555555555556
5,127,Typical Speech,5,0.18437499999999998
6,127,Typical Speech,6,0.20714285714285713
7,127,Typical Speech,7,0.26666666666666666
8,127,Typical Speech,8,0.012500000000000011
9,127,Typical Speech,9,0.11481481481481483
0,128,Typical Speech,0,0.0
1,128,Typical Speech,1,0.0
2,128,Typical Speech,2,0.0
3,128,Typical Speech,3,0.0
4,128,Typical Speech,4,0.0
5,128,Typical Speech,5,0.0
6,128,Typical Speech,6,0.0
7,128,Typical Speech,7,0.0
8,128,Typical Speech,8,0.0
9,128,Typical Speech,9,0.14999999999999997
0,129,Typical Speech,0,0.1392857142857143
1,129,Typical Speech,1,0.15333333333333335
2,129,Typical Speech,2,0.10081168831168831
3,129,Typical Speech,3,0.06177156177156176
4,129,Typical Speech,4,-0.07242857142857144
5,129,Typical Speech,5,0.11430539157811885
6,129,Typical Speech,6,0.12563775510204084
7,129,Typical Speech,7,-0.027899385560675883
8,129,Typical Speech,8,0.1710533910533911
9,129,Typical Speech,9,0.19581400742115032
0,130,Typical Speech,0,0.0
1,130,Typical Speech,1,0.0
2,130,Typical Speech,2,0.0
3,130,Typical Speech,3,0.0
4,130,Typical Speech,4,0.0
5,130,Typical Speech,5,0.0
6,130,Typical Speech,6,0.0
7,130,Typical Speech,7,0.0
8,130,Typical Speech,8,0.0
9,130,Typical Speech,9,0.0
0,131,Typical Speech,0,0.5239583333333333
1,131,Typical Speech,1,0.3638392857142857
2,131,Typical Speech,2,0.09999999999999999
3,131,Typical Speech,3,0.5444444444444445
4,131,Typical Speech,4,0.021088435374149665
5,131,Typical Speech,5,0.0
6,131,Typical Speech,6,0.19000000000000003
7,131,Typical Speech,7,0.23750000000000002
8,131,Typical Speech,8,0.09259259259259262
9,131,Typical Speech,9,0.3628571428571429
0,132,Typical Speech,0,-0.0642857142857143
1,132,Typical Speech,1,0.25974025974025977
2,132,Typical Speech,2,0.0
3,132,Typical Speech,3,-0.525
4,132,Typical Speech,4,-0.015909090909090914
5,132,Typical Speech,5,0.4
6,132,Typical Speech,6,0.0
7,132,Typical Speech,7,0.13227272727272726
8,132,Typical Speech,8,0.1
9,132,Typical Speech,9,0.0
0,133,Typical Speech,0,0.5
1,133,Typical Speech,1,0.25
2,133,Typical Speech,2,0.19166666666666668
3,133,Typical Speech,3,0.23718434343434344
4,133,Typical Speech,4,0.03333333333333333
5,133,Typical Speech,5,0.09166666666666667
6,133,Typical Speech,6,0.06048951048951049
7,133,Typical Speech,7,0.07873376623376625
8,133,Typical Speech,8,0.09808080808080809
9,133,Typical Speech,9,0.06564169164169163
0,134,Typical Speech,0,0.22447916666666667
1,134,Typical Speech,1,0.0
2,134,Typical Speech,2,0.1
3,134,Typical Speech,3,0.3038095238095238
4,134,Typical Speech,4,0.2
5,134,Typical Speech,5,0.0
6,134,Typical Speech,6,0.1
7,134,Typical Speech,7,0.6
8,134,Typical Speech,8,0.24545454545454548
9,134,Typical Speech,9,0.0
0,135,Typical Speech,0,0.09383753501400563
1,135,Typical Speech,1,0.11171875000000006
2,135,Typical Speech,2,0.07777777777777778
3,135,Typical Speech,3,0.1229166666666667
4,135,Typical Speech,4,0.07684210526315789
5,135,Typical Speech,5,0.10964285714285713
6,135,Typical Speech,6,0.825
7,135,Typical Speech,7,0.15714285714285714
8,135,Typical Speech,8,0.13
9,135,Typical Speech,9,0.19999999999999996
0,136,Typical Speech,0,0.16071428571428573
1,136,Typical Speech,1,0.17045454545454544
2,136,Typical Speech,2,0.022486225895316823
3,136,Typical Speech,3,0.20428571428571426
4,136,Typical Speech,4,-0.016616716616716615
5,136,Typical Speech,5,-0.06923076923076923
6,136,Typical Speech,6,-0.01458333333333333
7,136,Typical Speech,7,-0.01475279106858054
8,136,Typical Speech,8,-0.002499999999999991
